t	Vt	phi	theta	psi	PN	PE	H	ele	ail	rud	eng	H_cmd	speed_cmd	theta_cmd	H_d
0.010000	29.999993	0.000000	0.993268	0.000000	0.300000	0.000000	50.000001	0.993035	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	5000.000036
0.020000	29.999985	0.000000	0.992913	0.000000	0.600000	0.000000	50.000005	0.990677	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.000277
0.030000	29.999977	0.000000	0.992454	0.000000	0.900000	0.000000	50.000012	0.988755	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.000525
0.040000	29.999970	0.000000	0.991990	0.000000	1.199999	0.000000	50.000020	0.987951	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.000737
0.050000	29.999962	0.000000	0.991578	0.000000	1.499999	0.000000	50.000030	0.987961	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.000915
0.060000	29.999955	0.000000	0.991241	0.000000	1.799999	0.000000	50.000041	0.988386	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001066
0.075000	29.999944	0.000000	0.990871	0.000000	2.249998	0.000000	50.000061	0.989516	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001307
0.085000	29.999937	0.000000	0.990702	0.000000	2.549997	0.000000	50.000075	0.990015	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001405
0.095000	29.999929	0.000000	0.990582	0.000000	2.849997	0.000000	50.000090	0.990434	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001493
0.105000	29.999922	0.000000	0.990500	0.000000	3.149996	0.000000	50.000105	0.990776	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001571
0.115000	29.999915	0.000000	0.990448	0.000000	3.449995	0.000000	50.000122	0.991053	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001643
0.125000	29.999907	0.000000	0.990420	0.000000	3.749994	0.000000	50.000139	0.991277	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001709
0.135000	29.999900	0.000000	0.990408	0.000000	4.049993	0.000000	50.000157	0.991460	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001771
0.145000	29.999893	0.000000	0.990411	0.000000	4.349992	0.000000	50.000175	0.991609	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001829
0.155000	29.999885	0.000000	0.990423	0.000000	4.649991	0.000000	50.000194	0.991733	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001883
0.170000	29.999873	0.000000	0.990455	0.000000	5.099989	0.000000	50.000223	0.991836	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001935
0.180000	29.999865	0.000000	0.990482	0.000000	5.399988	0.000000	50.000243	0.991924	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.001984
0.190000	29.999858	0.000000	0.990513	0.000000	5.699986	0.000000	50.000263	0.991999	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002031
0.200000	29.999849	0.000000	0.990546	0.000000	5.999985	0.000000	50.000284	0.992065	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002076
0.210000	29.999841	0.000000	0.990580	0.000000	6.299983	0.000000	50.000306	0.992122	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002119
0.225000	29.999829	0.000000	0.990633	0.000000	6.749981	0.000000	50.000339	0.992221	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002202
0.235000	29.999821	0.000000	0.990668	0.000000	7.049979	0.000000	50.000361	0.992264	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002241
0.245000	29.999812	0.000000	0.990704	0.000000	7.349977	0.000000	50.000384	0.992303	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002278
0.255000	29.999804	0.000000	0.990738	0.000000	7.649975	0.000000	50.000407	0.992340	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002315
0.265000	29.999795	0.000000	0.990772	0.000000	7.949973	0.000000	50.000431	0.992375	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002350
0.275000	29.999786	0.000000	0.990806	0.000000	8.249971	0.000000	50.000454	0.992409	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002385
0.285000	29.999778	0.000000	0.990838	0.000000	8.549969	0.000000	50.000479	0.992441	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002418
0.295000	29.999769	0.000000	0.990869	0.000000	8.849967	0.000000	50.000503	0.992471	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002450
0.305000	29.999760	0.000000	0.990899	0.000000	9.149964	0.000000	50.000528	0.992501	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002482
0.320000	29.999747	0.000000	0.990942	0.000000	9.599961	0.000000	50.000566	0.992530	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002512
0.330000	29.999738	0.000000	0.990969	0.000000	9.899958	0.000000	50.000591	0.992557	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002541
0.340000	29.999728	0.000000	0.990995	0.000000	10.199955	0.000000	50.000617	0.992585	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002570
0.350000	29.999719	0.000000	0.991020	0.000000	10.499953	0.000000	50.000643	0.992611	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002597
0.360000	29.999710	0.000000	0.991043	0.000000	10.799950	0.000000	50.000670	0.992637	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002624
0.370000	29.999701	0.000000	0.991065	0.000000	11.099947	0.000000	50.000696	0.992663	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002649
0.380000	29.999691	0.000000	0.991087	0.000000	11.399944	0.000000	50.000723	0.992688	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002674
0.390000	29.999682	0.000000	0.991106	0.000000	11.699941	0.000000	50.000750	0.992712	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002698
0.400000	29.999673	0.000000	0.991125	0.000000	11.999937	0.000000	50.000777	0.992736	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002721
0.410000	29.999663	0.000000	0.991143	0.000000	12.299934	0.000000	50.000805	0.992760	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002743
0.420000	29.999654	0.000000	0.991159	0.000000	12.599931	0.000000	50.000833	0.992783	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002765
0.430000	29.999644	0.000000	0.991174	0.000000	12.899927	0.000000	50.000861	0.992806	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002785
0.445000	29.999630	0.000000	0.991195	0.000000	13.349922	0.000000	50.000903	0.992850	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002824
0.455000	29.999620	0.000000	0.991208	0.000000	13.649918	0.000000	50.000931	0.992872	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002842
0.465000	29.999610	0.000000	0.991219	0.000000	13.949914	0.000000	50.000960	0.992893	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002860
0.475000	29.999601	0.000000	0.991229	0.000000	14.249910	0.000000	50.000989	0.992914	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002876
0.485000	29.999591	0.000000	0.991239	0.000000	14.549906	0.000000	50.001018	0.992934	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002892
0.495000	29.999581	0.000000	0.991247	0.000000	14.849902	0.000000	50.001047	0.992954	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002908
0.505000	29.999571	0.000000	0.991254	0.000000	15.149898	0.000000	50.001076	0.992974	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002922
0.515000	29.999562	0.000000	0.991261	0.000000	15.449893	0.000000	50.001105	0.992993	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002936
0.525000	29.999552	0.000000	0.991266	0.000000	15.749889	0.000000	50.001135	0.993013	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002949
0.540000	29.999537	0.000000	0.991272	0.000000	16.199882	0.000000	50.001179	0.993031	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002962
0.550000	29.999527	0.000000	0.991275	0.000000	16.499877	0.000000	50.001209	0.993050	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002973
0.560000	29.999517	0.000000	0.991277	0.000000	16.799873	0.000000	50.001239	0.993068	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002984
0.570000	29.999508	0.000000	0.991278	0.000000	17.099868	0.000000	50.001269	0.993086	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.002995
0.580000	29.999498	0.000000	0.991278	0.000000	17.399863	0.000000	50.001299	0.993103	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003005
0.590000	29.999488	0.000000	0.991277	0.000000	17.699858	0.000000	50.001329	0.993120	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003014
0.605000	29.999473	0.000000	0.991275	0.000000	18.149850	0.000000	50.001375	0.993154	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003030
0.615000	29.999463	0.000000	0.991272	0.000000	18.449845	0.000000	50.001405	0.993170	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003038
0.625000	29.999453	0.000000	0.991268	0.000000	18.749839	0.000000	50.001436	0.993186	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003045
0.635000	29.999443	0.000000	0.991264	0.000000	19.049834	0.000000	50.001466	0.993201	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003051
0.645000	29.999433	0.000000	0.991259	0.000000	19.349828	0.000000	50.001497	0.993216	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003056
0.655000	29.999423	0.000000	0.991253	0.000000	19.649822	0.000000	50.001527	0.993231	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003061
0.665000	29.999414	0.000000	0.991246	0.000000	19.949816	0.000000	50.001558	0.993246	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003066
0.675000	29.999404	0.000000	0.991239	0.000000	20.249810	0.000000	50.001589	0.993261	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003070
0.685000	29.999394	0.000000	0.991230	0.000000	20.549804	0.000000	50.001619	0.993275	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003073
0.695000	29.999384	0.000000	0.991222	0.000000	20.849798	0.000000	50.001650	0.993289	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003076
0.710000	29.999369	0.000000	0.991207	0.000000	21.299789	0.000000	50.001696	0.993302	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003079
0.720000	29.999359	0.000000	0.991196	0.000000	21.599783	0.000000	50.001727	0.993315	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003080
0.730000	29.999350	0.000000	0.991185	0.000000	21.899776	0.000000	50.001758	0.993328	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003082
0.740000	29.999340	0.000000	0.991173	0.000000	22.199770	0.000000	50.001789	0.993341	0.000000	0.000000	46.262948	50.000000	0.000000	0.993401	0.003083
